"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,1548,"Bossier","LA","Shreveport",443,168100,0.00119118522930316,0.00178784266984505,0.0453980099502488,0.012341798342465,,"2016-11","2016-Q4",169700,-0.009428403064231,"2016-10"
2017-04-30,1308,"Parker","TX","Dallas-Fort Worth",444,222800,0.0113481615978212,0.0314814814814815,0.106256206554121,0.0763813456266937,0.0379601512794425,"2017-04","2017-Q2",222800,0,"2017-04"
2017-04-30,1393,"Skagit","WA","Mount Vernon",445,294500,0.00752651385562778,0.0123753867308353,0.130518234165067,0.0715090611127678,,"2017-04","2017-Q2",294500,0,"2017-04"
2017-04-30,940,"Clarke","GA","Athens",446,143700,0.00700770847932726,0.0271622587562545,0.101149425287356,0.0518613916283757,0.00656348345638635,"2017-04","2017-Q2",143700,0,"2017-04"
2017-04-30,238,"Linn","OR","Albany",447,204800,0.00986193293885602,0.0364372469635627,0.155104342921602,0.0752340713748283,0.0179628137213304,"2017-04","2017-Q2",204800,0,"2017-04"
2017-04-30,1203,"Mercer","PA","Youngstown",448,109500,0.00366636113657195,0.0176579925650558,0.0195530726256983,0.0193379837257219,0.0128233578237329,"2017-04","2017-Q2",109500,0,"2017-04"
2017-04-30,2748,"Jefferson","NY","Watertown",449,139000,-0.00572246065808297,-0.00501073729420186,0.107569721115538,0.0100820863278923,0.0189578797375245,"2017-02","2017-Q1",140100,-0.00785153461812991,"2017-01"
2017-04-30,2173,"Canadian","OK","Oklahoma City",450,152500,0.00262984878369494,0.00394996708360764,0.00394996708360764,0.0257434825729119,,"2016-11","2016-Q4",152900,-0.0026160889470242,"2016-10"
2017-04-30,1835,"Kendall","IL","Chicago",451,223700,0.00539325842696629,0.0177434030937216,0.0647310804378867,0.0492525393128822,-0.011290990249799,"2007-03","2007-Q1",250700,-0.107698444355804,"2005-01"
2017-04-30,1762,"Harnett","NC","Dunn",452,158800,0.00252525252525253,0.00569981000633312,0.0311688311688312,0.00958973116541761,,"2017-04","2017-Q2",158800,0,"2017-04"
2017-04-30,2767,"La Crosse","WI","La Crosse",453,156200,0.00904392764857881,0.0330687830687831,0.101551480959097,0.0482700407588943,0.0274021670214921,"2017-04","2017-Q2",156200,0,"2017-04"
2017-04-30,1496,"Wilson","TN","Nashville",454,255200,0.0047244094488189,0.0167330677290837,0.0827322868052609,0.0762888077661239,0.0313069388842038,"2017-04","2017-Q2",255200,0,"2017-04"
